
This hub-height turbulence-parameter file was generated by TurbSim (v2.00.06a-bjj, 6-Jun-2016) on 07-Jun-2016 at 10:43:29.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
  20.35   12.539   12.554   12.558    0.605   -0.324    0.362    0.605   -0.324   -0.117    0.219   -0.196    0.301    0.158
  20.40   12.708   12.719   12.725    0.521   -0.403    0.531    0.521   -0.403   -0.214    0.276   -0.210    0.358    0.204
  20.45   12.457   12.480   12.480    0.757   -0.110    0.280    0.757   -0.110   -0.031    0.212   -0.083    0.332    0.115
  20.50   12.315   12.332   12.334    0.650   -0.196    0.138    0.650   -0.196   -0.027    0.090   -0.127    0.240    0.079
  20.55   12.553   12.590   12.593    0.957   -0.264    0.376    0.957   -0.264   -0.099    0.360   -0.252    0.564    0.225
  20.60   12.849   12.884   12.887    0.949   -0.243    0.672    0.949   -0.243   -0.163    0.638   -0.230    0.706    0.349
  20.65   12.802   12.837   12.839    0.947    0.251    0.625    0.947    0.251    0.157    0.592    0.237    0.675    0.328
  20.70   13.005   13.048   13.049    1.064    0.173    0.828    1.064    0.173    0.143    0.881    0.184    0.924    0.455
  20.75   12.963   13.014   13.020    1.160    0.392    0.786    1.160    0.392    0.308    0.911    0.454    1.058    0.532
  20.80   13.041   13.094   13.103    1.169    0.488    0.864    1.169    0.488    0.421    1.011    0.570    1.176    0.617
  20.85   12.988   13.019   13.031    0.904    0.563    0.811    0.904    0.563    0.457    0.733    0.509    0.896    0.501
  20.90   13.081   13.108   13.116    0.842    0.481    0.903    0.842    0.481    0.434    0.761    0.405    0.878    0.483
  20.95   12.803   12.812   12.814    0.472    0.241    0.626    0.472    0.241    0.151    0.295    0.114    0.336    0.175
  21.00   12.565   12.567   12.569    0.213    0.206    0.388    0.213    0.206    0.080    0.083    0.044    0.119    0.062
  21.05   12.222   12.223   12.225    0.177    0.209    0.045    0.177    0.209    0.009    0.008    0.037    0.039    0.020
  21.10   12.106   12.106   12.108   -0.035    0.234   -0.071   -0.035    0.234   -0.017    0.003   -0.008    0.030    0.009
  21.15   12.106   12.107   12.108   -0.085    0.189   -0.071   -0.085    0.189   -0.013    0.006   -0.016    0.024    0.011
  21.20   12.337   12.337   12.339    0.028    0.223    0.160    0.028    0.223    0.036    0.005    0.006    0.038    0.018
  21.25   12.144   12.144   12.149   -0.070    0.325   -0.033   -0.070    0.325   -0.011    0.002   -0.023    0.056    0.013
  21.30   12.290   12.290   12.294   -0.127    0.310    0.113   -0.127    0.310    0.035   -0.014   -0.039    0.062    0.027
  21.35   12.180   12.180   12.186   -0.005    0.390    0.003   -0.005    0.390    0.001   -0.000   -0.002    0.076    0.001
  21.40   11.773   11.780   11.789   -0.425    0.454   -0.404   -0.425    0.454   -0.183    0.172   -0.193    0.275    0.158
  21.45   11.931   11.935   11.943   -0.320    0.442   -0.246   -0.320    0.442   -0.109    0.079   -0.141    0.179    0.098
  21.50   11.966   11.966   11.982   -0.034    0.620   -0.211   -0.034    0.620   -0.131    0.007   -0.021    0.215    0.066
  21.55   11.618   11.620   11.628    0.204    0.451   -0.559    0.204    0.451   -0.252   -0.114    0.092    0.279    0.146
  21.60   11.865   11.866   11.868    0.135    0.237   -0.312    0.135    0.237   -0.074   -0.042    0.032    0.086    0.045
  21.65   11.962   11.962   11.967   -0.101    0.356   -0.215   -0.101    0.356   -0.077    0.022   -0.036    0.092    0.044
  21.70   11.772   11.776   11.782   -0.290    0.397   -0.405   -0.290    0.397   -0.161    0.118   -0.115    0.203    0.115
  21.75   11.898   11.901   11.924   -0.251    0.738   -0.279   -0.251    0.738   -0.206    0.070   -0.186    0.343    0.143
  21.80   11.981   11.984   12.008   -0.285    0.762   -0.196   -0.285    0.762   -0.150    0.056   -0.217    0.350    0.135
  21.85   12.098   12.114   12.124   -0.609    0.501   -0.079   -0.609    0.501   -0.039    0.048   -0.305    0.314    0.156
  21.90   12.084   12.093   12.111   -0.473    0.660   -0.093   -0.473    0.660   -0.062    0.044   -0.312    0.334    0.161
  21.95   12.116   12.127   12.136   -0.519    0.470   -0.061   -0.519    0.470   -0.029    0.032   -0.244    0.247    0.124
  22.00   11.870   11.881   11.887   -0.521    0.365   -0.307   -0.521    0.365   -0.112    0.160   -0.190    0.250    0.136
  22.05   11.874   11.876   11.894   -0.220    0.664   -0.303   -0.220    0.664   -0.201    0.067   -0.146    0.291    0.129
  22.10   12.091   12.092   12.108   -0.160    0.623   -0.086   -0.160    0.623   -0.054    0.014   -0.100    0.211    0.057
  22.15   12.059   12.062   12.095   -0.249    0.895   -0.118   -0.249    0.895   -0.106    0.029   -0.222    0.438    0.124
  22.20   12.172   12.178   12.222   -0.398    1.032   -0.005   -0.398    1.032   -0.006    0.002   -0.411    0.611    0.205
  22.25   12.290   12.293   12.330   -0.272    0.964    0.113   -0.272    0.964    0.109   -0.031   -0.262    0.508    0.143
  22.30   12.261   12.266   12.283   -0.325    0.660    0.084   -0.325    0.660    0.056   -0.027   -0.215    0.274    0.112
  22.35   12.422   12.430   12.434   -0.447    0.327    0.245   -0.447    0.327    0.080   -0.110   -0.146    0.184    0.100
  22.40   12.395   12.406   12.409   -0.521    0.299    0.218   -0.521    0.299    0.065   -0.113   -0.155    0.204    0.102
  22.45   12.456   12.460   12.462   -0.296    0.242    0.279   -0.296    0.242    0.067   -0.083   -0.072    0.112    0.064
  22.50   12.146   12.149   12.152   -0.242    0.262   -0.031   -0.242    0.262   -0.008    0.007   -0.063    0.064    0.032
  22.55   12.161   12.162   12.162    0.171    0.117   -0.016    0.171    0.117   -0.002   -0.003    0.020    0.022    0.010
  22.60   12.084   12.085   12.088    0.174    0.273   -0.093    0.174    0.273   -0.025   -0.016    0.047    0.057    0.028
  22.65   12.119   12.120   12.120    0.187    0.005   -0.058    0.187    0.005   -0.000   -0.011    0.001    0.019    0.005
  22.70   11.929   11.931   11.932    0.232   -0.106   -0.248    0.232   -0.106    0.026   -0.058   -0.025    0.063    0.034
  22.75   11.951   11.952   11.956   -0.096   -0.315   -0.226   -0.096   -0.315    0.071    0.022    0.030    0.080    0.040
  22.80   12.051   12.051   12.051    0.038    0.046   -0.126    0.038    0.046   -0.006   -0.005    0.002    0.010    0.004
  22.85   12.224   12.224   12.225    0.123    0.100    0.047    0.123    0.100    0.005    0.006    0.012    0.014    0.007
  22.90   12.490   12.495   12.495    0.349   -0.057    0.313    0.349   -0.057   -0.018    0.109   -0.020    0.112    0.056
  22.95   12.495   12.508   12.508    0.577   -0.024    0.318    0.577   -0.024   -0.008    0.184   -0.014    0.218    0.092
  23.00   12.521   12.527   12.541    0.387   -0.593    0.344    0.387   -0.593   -0.204    0.133   -0.230    0.310    0.167
  23.05   12.629   12.672   12.682    1.036   -0.503    0.452    1.036   -0.503   -0.227    0.468   -0.521    0.765    0.368
  23.10   12.433   12.472   12.481    0.984   -0.463    0.256    0.984   -0.463   -0.119    0.252   -0.455    0.624    0.267
  23.15   12.456   12.476   12.498    0.717   -0.736    0.279    0.717   -0.736   -0.205    0.200   -0.528    0.567    0.300
  23.20   11.979   11.982   11.985    0.254   -0.268   -0.198    0.254   -0.268    0.053   -0.050   -0.068    0.088    0.050
  23.25   11.769   11.771   11.771    0.215   -0.075   -0.408    0.215   -0.075    0.031   -0.088   -0.016    0.109    0.047
  23.30   11.632   11.633   11.633    0.106   -0.055   -0.545    0.106   -0.055    0.030   -0.058   -0.006    0.155    0.033
  23.35   11.781   11.781   11.791   -0.056   -0.476   -0.396   -0.056   -0.476    0.188    0.022    0.027    0.193    0.096
  23.40   11.702   11.708   11.713   -0.364   -0.367   -0.475   -0.364   -0.367    0.174    0.173    0.133    0.246    0.140
  23.45   11.386   11.411   11.421   -0.753   -0.479   -0.791   -0.753   -0.479    0.378    0.596    0.361    0.711    0.396
  23.50   11.445   11.474   11.490   -0.805   -0.612   -0.732   -0.805   -0.612    0.448    0.589    0.493    0.779    0.445
  23.55   11.594   11.611   11.629   -0.628   -0.645   -0.583   -0.628   -0.645    0.376    0.366    0.405    0.575    0.331
  23.60   11.763   11.784   11.806   -0.703   -0.719   -0.414   -0.703   -0.719    0.298    0.291    0.506    0.592    0.328
  23.65   11.970   12.002   12.026   -0.885   -0.755   -0.207   -0.885   -0.755    0.156    0.183    0.668    0.698    0.355
  23.70   12.256   12.267   12.317   -0.522   -1.104    0.079   -0.522   -1.104   -0.087   -0.041    0.576    0.749    0.292
  23.75   12.307   12.324   12.375   -0.653   -1.118    0.130   -0.653   -1.118   -0.145   -0.085    0.730    0.847    0.375
  23.80   12.322   12.344   12.403   -0.737   -1.208    0.145   -0.737   -1.208   -0.176   -0.107    0.890    1.012    0.457
  23.85   12.102   12.125   12.168   -0.738   -1.027   -0.075   -0.738   -1.027    0.077    0.055    0.758    0.802    0.382
  23.90   12.061   12.080   12.124   -0.666   -1.040   -0.116   -0.666   -1.040    0.120    0.077    0.692    0.769    0.353
  23.95   12.329   12.334   12.378   -0.358   -1.035    0.152   -0.358   -1.035   -0.158   -0.055    0.371    0.611    0.203
  24.00   12.456   12.458   12.487   -0.209   -0.854    0.279   -0.209   -0.854   -0.239   -0.058    0.179    0.426    0.152
  24.05   12.374   12.398   12.434   -0.758   -0.951    0.197   -0.758   -0.951   -0.188   -0.150    0.721    0.759    0.380
  24.10   12.030   12.062   12.103   -0.881   -0.997   -0.147   -0.881   -0.997    0.147    0.130    0.878    0.896    0.450
  24.15   12.151   12.169   12.221   -0.645   -1.134   -0.026   -0.645   -1.134    0.029    0.017    0.732    0.852    0.366
  24.20   12.314   12.318   12.348   -0.341   -0.861    0.137   -0.341   -0.861   -0.117   -0.047    0.294    0.438    0.160
  24.25   12.377   12.386   12.436   -0.474   -1.119    0.200   -0.474   -1.119   -0.224   -0.095    0.530    0.758    0.291
  24.30   12.319   12.334   12.394   -0.606   -1.221    0.142   -0.606   -1.221   -0.173   -0.086    0.740    0.939    0.382
  24.35   12.119   12.137   12.185   -0.650   -1.084   -0.058   -0.650   -1.084    0.062    0.037    0.704    0.800    0.354
  24.40   11.896   11.906   11.925   -0.473   -0.681   -0.281   -0.473   -0.681    0.191    0.133    0.322    0.383    0.199
  24.45   11.756   11.767   11.785   -0.524   -0.652   -0.421   -0.524   -0.652    0.275    0.221    0.342    0.439    0.246
  24.50   11.591   11.609   11.630   -0.642   -0.694   -0.586   -0.642   -0.694    0.407    0.376    0.446    0.619    0.356
  24.55   11.573   11.590   11.605   -0.622   -0.594   -0.604   -0.622   -0.594    0.359    0.376    0.369    0.552    0.319
  24.60   11.582   11.603   11.629   -0.697   -0.774   -0.595   -0.697   -0.774    0.460    0.414    0.539    0.719    0.410
  24.65   11.810   11.847   11.875   -0.942   -0.804   -0.367   -0.942   -0.804    0.295    0.346    0.757    0.834    0.441
  24.70   11.754   11.799   11.820   -1.029   -0.703   -0.423   -1.029   -0.703    0.298    0.436    0.724    0.867    0.448
  24.75   11.884   11.917   11.939   -0.892   -0.715   -0.293   -0.892   -0.715    0.210    0.261    0.638    0.696    0.360
  24.80   11.721   11.752   11.774   -0.854   -0.724   -0.456   -0.854   -0.724    0.330    0.390    0.618    0.730    0.401
  24.85   11.667   11.707   11.728   -0.967   -0.703   -0.510   -0.967   -0.703    0.358    0.493    0.680    0.845    0.456
  24.90   11.713   11.743   11.779   -0.839   -0.926   -0.464   -0.839   -0.926    0.430    0.390    0.777    0.889    0.485
  24.95   11.734   11.764   11.780   -0.851   -0.601   -0.443   -0.851   -0.601    0.266    0.377    0.511    0.641    0.344
  25.00   11.767   11.793   11.808   -0.775   -0.594   -0.410   -0.775   -0.594    0.244    0.317    0.460    0.560    0.305
  25.05   11.743   11.751   11.763   -0.447   -0.515   -0.434   -0.447   -0.515    0.224    0.194    0.230    0.327    0.187
  25.10   12.031   12.034   12.038   -0.254   -0.304   -0.146   -0.254   -0.304    0.044    0.037    0.077    0.089    0.048
  25.15   11.911   11.917   11.932   -0.385   -0.599   -0.267   -0.385   -0.599    0.160    0.103    0.231    0.289    0.149
  25.20   11.612   11.612   11.623   -0.098   -0.498   -0.565   -0.098   -0.498    0.282    0.056    0.049    0.289    0.146
  25.25   11.785   11.785   11.808   -0.091   -0.730   -0.392   -0.091   -0.730    0.287    0.036    0.066    0.348    0.148
  25.30   11.863   11.864   11.889   -0.095   -0.777   -0.314   -0.095   -0.777    0.244    0.030    0.074    0.356    0.128
  25.35   11.604   11.608   11.620   -0.326   -0.532   -0.573   -0.326   -0.532    0.305    0.187    0.173    0.359    0.199
  25.40   11.660   11.664   11.695   -0.315   -0.847   -0.517   -0.315   -0.847    0.438    0.163    0.267    0.542    0.269
  25.45   11.587   11.605   11.638   -0.642   -0.883   -0.590   -0.642   -0.883    0.521    0.379    0.566    0.769    0.429
  25.50   11.426   11.439   11.485   -0.553   -1.030   -0.751   -0.553   -1.030    0.774    0.415    0.570    0.966    0.524
  25.55   11.307   11.330   11.403   -0.733   -1.282   -0.870   -0.733   -1.282    1.116    0.638    0.939    1.468    0.796
  25.60   11.032   11.050   11.150   -0.630   -1.496   -1.145   -0.630   -1.496    1.713    0.721    0.942    1.973    1.042
  25.65   10.904   10.938   11.024   -0.861   -1.368   -1.273   -0.861   -1.368    1.741    1.095    1.178    2.116    1.185
  25.70   10.869   10.922   10.990   -1.077   -1.227   -1.308   -1.077   -1.227    1.605    1.409    1.321    2.188    1.256
  25.75   11.091   11.135   11.223   -0.986   -1.402   -1.086   -0.986   -1.402    1.523    1.071    1.382    2.058    1.159
  25.80   11.216   11.233   11.320   -0.627   -1.400   -0.961   -0.627   -1.400    1.345    0.602    0.877    1.638    0.858
  25.85   11.205   11.229   11.310   -0.739   -1.351   -0.972   -0.739   -1.351    1.313    0.718    0.998    1.658    0.900
  25.90   11.240   11.251   11.312   -0.481   -1.179   -0.937   -0.481   -1.179    1.105    0.451    0.567    1.250    0.660
  25.95   11.405   11.425   11.468   -0.672   -0.994   -0.772   -0.672   -0.994    0.767    0.519    0.667    1.017    0.571
  26.00   11.632   11.644   11.702   -0.530   -1.163   -0.545   -0.530   -1.163    0.633    0.289    0.616    0.965    0.465
  26.05   11.639   11.658   11.740   -0.666   -1.389   -0.538   -0.666   -1.389    0.747    0.359    0.925    1.331    0.621
  26.10   11.411   11.449   11.519   -0.933   -1.268   -0.767   -0.933   -1.268    0.972    0.715    1.183    1.533    0.845
  26.15   11.715   11.753   11.816   -0.948   -1.219   -0.462   -0.948   -1.219    0.563    0.438    1.156    1.299    0.679
  26.20   11.923   11.959   12.022   -0.928   -1.233   -0.254   -0.928   -1.233    0.314    0.236    1.145    1.224    0.605
  26.25   12.043   12.084   12.128   -0.995   -1.035   -0.134   -0.995   -1.035    0.139    0.134    1.030    1.040    0.524
  26.30   11.926   11.968   11.988   -1.004   -0.699   -0.251   -1.004   -0.699    0.175    0.252    0.702    0.780    0.383
  26.35   11.951   11.978   11.995   -0.802   -0.649   -0.226   -0.802   -0.649    0.147    0.181    0.520    0.557    0.285
  26.40   12.053   12.072   12.093   -0.672   -0.716   -0.124   -0.672   -0.716    0.089    0.083    0.481    0.490    0.248
  26.45   11.957   11.977   11.983   -0.684   -0.385   -0.220   -0.684   -0.385    0.085    0.150    0.263    0.332    0.157
  26.50   12.235   12.251   12.272   -0.638   -0.707    0.058   -0.638   -0.707   -0.041   -0.037    0.451    0.455    0.227
  26.55   12.252   12.278   12.317   -0.787   -0.980    0.075   -0.787   -0.980   -0.074   -0.059    0.772    0.793    0.389
  26.60   11.991   12.033   12.066   -1.015   -0.881   -0.186   -1.015   -0.881    0.164    0.189    0.895    0.921    0.465
  26.65   12.222   12.265   12.317   -1.035   -1.123    0.045   -1.035   -1.123   -0.050   -0.046    1.162    1.167    0.582
  26.70   11.910   11.957   11.986   -1.053   -0.832   -0.267   -1.053   -0.832    0.222    0.281    0.876    0.936    0.473
  26.75   11.732   11.790   11.819   -1.168   -0.827   -0.445   -1.168   -0.827    0.368    0.520    0.966    1.123    0.578
  26.80   11.870   11.923   11.955   -1.127   -0.872   -0.307   -1.127   -0.872    0.268    0.346    0.983    1.062    0.538
  26.85   11.817   11.847   11.861   -0.843   -0.575   -0.360   -0.843   -0.575    0.207    0.303    0.484    0.585    0.304
  26.90   11.633   11.680   11.701   -1.054   -0.689   -0.544   -1.054   -0.689    0.375    0.574    0.726    0.941    0.499
  26.95   11.523   11.584   11.598   -1.192   -0.551   -0.654   -1.192   -0.551    0.360    0.780    0.656    1.076    0.541
  27.00   11.416   11.482   11.486   -1.225   -0.306   -0.761   -1.225   -0.306    0.233    0.932    0.375    1.086    0.515
  27.05   11.374   11.419   11.419   -1.005   -0.057   -0.803   -1.005   -0.057    0.046    0.807    0.058    0.829    0.405
  27.10   11.539   11.562   11.562   -0.725   -0.020   -0.638   -0.725   -0.020    0.013    0.463    0.015    0.467    0.231
  27.15   11.424   11.452   11.452   -0.805   -0.055   -0.753   -0.805   -0.055    0.041    0.607    0.044    0.610    0.305
  27.20   11.291   11.344   11.345   -1.100   -0.104   -0.886   -1.100   -0.104    0.092    0.975    0.114    1.003    0.493
  27.25   11.183   11.250   11.252   -1.227    0.173   -0.994   -1.227    0.173   -0.172    1.219   -0.213    1.261    0.625
  27.30   10.966   11.082   11.088   -1.598    0.352   -1.211   -1.598    0.352   -0.426    1.935   -0.562    2.072    1.030
  27.35   11.242   11.312   11.313   -1.255   -0.162   -0.935   -1.255   -0.162    0.151    1.174    0.203    1.238    0.600
  27.40   11.380   11.439   11.440   -1.164   -0.110   -0.797   -1.164   -0.110    0.088    0.928    0.128    1.001    0.470
  27.45   11.496   11.527   11.527   -0.842    0.034   -0.681   -0.842    0.034   -0.023    0.573   -0.029    0.587    0.287
  27.50   11.538   11.553   11.553   -0.579   -0.128   -0.639   -0.579   -0.128    0.082    0.370    0.074    0.380    0.193
  27.55   11.547   11.552   11.552   -0.343   -0.056   -0.631   -0.343   -0.056    0.035    0.216    0.019    0.259    0.110
  27.60   11.728   11.732   11.732   -0.318    0.000   -0.449   -0.318    0.000   -0.000    0.143   -0.000    0.151    0.071
  27.65   11.540   11.540   11.545   -0.066    0.318   -0.637   -0.066    0.318   -0.203    0.042   -0.021    0.256    0.104
  27.70   11.585   11.591   11.591    0.390    0.011   -0.592    0.390    0.011   -0.007   -0.231    0.004    0.252    0.116
  27.75   11.330   11.338   11.339    0.420    0.091   -0.847    0.420    0.091   -0.077   -0.356    0.038    0.451    0.183
  27.80   11.248   11.250   11.250    0.186    0.113   -0.929    0.186    0.113   -0.105   -0.173    0.021    0.455    0.102
  27.85   11.344   11.354   11.357    0.467    0.266   -0.833    0.467    0.266   -0.222   -0.389    0.124    0.491    0.232
  27.90   11.515   11.520   11.525    0.323    0.337   -0.662    0.323    0.337   -0.223   -0.214    0.109    0.328    0.164
  27.95   11.404   11.405   11.405   -0.142    0.085   -0.773   -0.142    0.085   -0.066    0.110   -0.012    0.312    0.064
  28.00   11.242   11.242   11.244    0.039    0.231   -0.935    0.039    0.231   -0.216   -0.037    0.009    0.465    0.110
  28.05   11.440   11.440   11.441    0.075    0.124   -0.737    0.075    0.124   -0.091   -0.055    0.009    0.282    0.054
  28.10   11.495   11.504   11.508    0.462    0.291   -0.682    0.462    0.291   -0.199   -0.315    0.134    0.382    0.198
  28.15   11.225   11.228   11.236    0.266    0.419   -0.952    0.266    0.419   -0.399   -0.253    0.112    0.576    0.243
  28.20   11.162   11.163   11.168   -0.043    0.352   -1.015   -0.043    0.352   -0.357    0.044   -0.015    0.577    0.180
  28.25   11.360   11.361   11.361   -0.135    0.098   -0.817   -0.135    0.098   -0.080    0.110   -0.013    0.347    0.068
  28.30   11.192   11.197   11.197   -0.330   -0.101   -0.985   -0.330   -0.101    0.099    0.325    0.033    0.545    0.171
  28.35   10.988   11.013   11.014   -0.746   -0.128   -1.189   -0.746   -0.128    0.152    0.887    0.095    0.993    0.452
  28.40   11.031   11.072   11.076   -0.947   -0.318   -1.146   -0.947   -0.318    0.364    1.085    0.301    1.156    0.592
  28.45   11.291   11.309   11.314   -0.646   -0.318   -0.886   -0.646   -0.318    0.282    0.573    0.205    0.652    0.335
  28.50   11.557   11.559   11.559   -0.236   -0.006   -0.620   -0.236   -0.006    0.003    0.146    0.001    0.220    0.073
  28.55   11.688   11.690   11.690   -0.221    0.043   -0.489   -0.221    0.043   -0.021    0.108   -0.009    0.145    0.055
  28.60   11.674   11.678   11.680   -0.324    0.216   -0.503   -0.324    0.216   -0.109    0.163   -0.070    0.202    0.104
  28.65   11.529   11.541   11.549   -0.528    0.421   -0.648   -0.528    0.421   -0.273    0.342   -0.222    0.438    0.245
  28.70   11.482   11.497   11.514   -0.592    0.632   -0.695   -0.592    0.632   -0.439    0.411   -0.374    0.617    0.354
  28.75   11.312   11.329   11.335   -0.618    0.376   -0.865   -0.618    0.376   -0.325    0.534   -0.232    0.636    0.334
  28.80   11.185   11.216   11.219   -0.842    0.250   -0.992   -0.842    0.250   -0.248    0.836   -0.211    0.878    0.448
  28.85   11.486   11.506   11.507   -0.681   -0.085   -0.691   -0.681   -0.085    0.059    0.470    0.058    0.474    0.239
  28.90   11.632   11.643   11.643   -0.509   -0.001   -0.545   -0.509   -0.001    0.001    0.278    0.001    0.279    0.139
  28.95   11.801   11.812   11.812   -0.501   -0.067   -0.376   -0.501   -0.067    0.025    0.189    0.033    0.199    0.097
  29.00   11.750   11.780   11.781   -0.841   -0.126   -0.427   -0.841   -0.126    0.054    0.359    0.106    0.452    0.189
  29.05   11.690   11.725   11.725   -0.911   -0.028   -0.487   -0.911   -0.028    0.014    0.444    0.026    0.534    0.222
  29.10   11.458   11.532   11.532   -1.300    0.087   -0.719   -1.300    0.087   -0.062    0.934   -0.113    1.107    0.472
  29.15   11.756   11.806   11.809   -1.084    0.244   -0.421   -1.084    0.244   -0.103    0.456   -0.265    0.706    0.269
  29.20   11.920   11.936   11.943   -0.621    0.410   -0.257   -0.621    0.410   -0.105    0.159   -0.255    0.310    0.159
  29.25   12.048   12.060   12.067   -0.525    0.429   -0.129   -0.525    0.429   -0.055    0.068   -0.225    0.238    0.121
  29.30   12.409   12.416   12.426   -0.418    0.521    0.231   -0.418    0.521    0.121   -0.097   -0.218    0.250    0.134
  29.35   12.384   12.387   12.394   -0.256    0.406    0.207   -0.256    0.406    0.084   -0.053   -0.104    0.137    0.072
  29.40   12.202   12.204   12.205   -0.210    0.169    0.025   -0.210    0.169    0.004   -0.005   -0.035    0.037    0.018
  29.45   11.846   11.847   11.853   -0.208    0.381   -0.331   -0.208    0.381   -0.126    0.069   -0.079    0.149    0.082
  29.50   12.008   12.010   12.020   -0.193    0.505   -0.169   -0.193    0.505   -0.085    0.033   -0.098    0.160    0.067
  29.55   12.032   12.040   12.051   -0.420    0.535   -0.145   -0.420    0.535   -0.077    0.061   -0.225    0.242    0.123
  29.60   12.151   12.159   12.163   -0.444    0.299   -0.026   -0.444    0.299   -0.008    0.012   -0.132    0.143    0.067
  29.65   11.941   11.951   11.957   -0.507    0.352   -0.236   -0.507    0.352   -0.083    0.120   -0.179    0.219    0.115
  29.70   12.112   12.113   12.116   -0.196    0.255   -0.065   -0.196    0.255   -0.017    0.013   -0.050    0.054    0.027
  29.75   12.172   12.172   12.179    0.083    0.417   -0.005    0.083    0.417   -0.002   -0.000    0.035    0.090    0.017
  29.80   12.344   12.349   12.355    0.368    0.390    0.167    0.368    0.390    0.065    0.061    0.143    0.157    0.084
  29.85   12.206   12.209   12.220    0.280    0.502    0.029    0.280    0.502    0.015    0.008    0.141    0.166    0.071
  29.90   12.397   12.397   12.398    0.077    0.174    0.220    0.077    0.174    0.038    0.017    0.013    0.042    0.022
  29.95   12.290   12.290   12.293   -0.090    0.283    0.113   -0.090    0.283    0.032   -0.010   -0.026    0.050    0.021
  30.00   12.130   12.131   12.132   -0.140    0.183   -0.047   -0.140    0.183   -0.009    0.007   -0.026    0.028    0.014
  30.05   12.401   12.402   12.403   -0.178    0.123    0.224   -0.178    0.123    0.028   -0.040   -0.022    0.049    0.027
  30.10   12.402   12.407   12.408   -0.345    0.140    0.225   -0.345    0.140    0.031   -0.078   -0.048    0.095    0.048
  30.15   12.339   12.342   12.345   -0.304    0.266    0.162   -0.304    0.266    0.043   -0.049   -0.081    0.095    0.052
  30.20   12.328   12.338   12.342   -0.494    0.324    0.151   -0.494    0.324    0.049   -0.075   -0.160    0.186    0.092
  30.25   12.480   12.488   12.489   -0.450    0.134    0.303   -0.450    0.134    0.041   -0.136   -0.060    0.156    0.077
  30.30   12.388   12.394   12.398   -0.374    0.336    0.211   -0.374    0.336    0.071   -0.079   -0.126    0.149    0.082
  30.35   12.464   12.466   12.472   -0.245    0.388    0.287   -0.245    0.388    0.111   -0.070   -0.095    0.146    0.081
  30.40   12.237   12.248   12.251   -0.509    0.257    0.060   -0.509    0.257    0.016   -0.031   -0.131    0.165    0.068
  30.45   12.165   12.181   12.181   -0.620    0.012   -0.012   -0.620    0.012   -0.000    0.008   -0.007    0.192    0.005
  30.50   12.174   12.179   12.181   -0.356    0.188   -0.003   -0.356    0.188   -0.001    0.001   -0.067    0.081    0.034
  30.55   12.263   12.268   12.273   -0.329    0.359    0.086   -0.329    0.359    0.031   -0.028   -0.118    0.122    0.063
  30.60   12.130   12.150   12.150   -0.701   -0.016   -0.047   -0.701   -0.016    0.001    0.033    0.011    0.247    0.018
  30.65   11.864   11.876   11.877   -0.530   -0.138   -0.313   -0.530   -0.138    0.043    0.166    0.073    0.199    0.093
  30.70   11.818   11.836   11.837   -0.642   -0.126   -0.359   -0.642   -0.126    0.045    0.230    0.081    0.278    0.124
  30.75   11.635   11.659   11.659   -0.740   -0.111   -0.542   -0.740   -0.111    0.060    0.401    0.082    0.427    0.207
  30.80   11.858   11.870   11.871   -0.548   -0.110   -0.319   -0.548   -0.110    0.035    0.175    0.060    0.207    0.094
  30.85   11.688   11.702   11.704   -0.567   -0.244   -0.489   -0.567   -0.244    0.119    0.277    0.138    0.310    0.166
  30.90   11.909   11.922   11.924   -0.549   -0.241   -0.268   -0.549   -0.241    0.064    0.147    0.132    0.216    0.104
  30.95   11.661   11.702   11.703   -0.977   -0.107   -0.516   -0.977   -0.107    0.055    0.504    0.104    0.616    0.259
  31.00   11.828   11.861   11.863   -0.886   -0.163   -0.349   -0.886   -0.163    0.057    0.309    0.145    0.467    0.173
  31.05   12.011   12.041   12.041   -0.856   -0.046   -0.166   -0.856   -0.046    0.008    0.142    0.039    0.381    0.074
  31.10   12.216   12.228   12.233   -0.543   -0.364    0.039   -0.543   -0.364   -0.014   -0.021    0.198    0.215    0.100
  31.15   12.147   12.167   12.179   -0.705   -0.523   -0.030   -0.705   -0.523    0.016    0.021    0.369    0.386    0.185
  31.20   12.258   12.276   12.288   -0.677   -0.546    0.081   -0.677   -0.546   -0.044   -0.055    0.369    0.381    0.188
  31.25   12.148   12.174   12.181   -0.792   -0.423   -0.029   -0.792   -0.423    0.012    0.023    0.335    0.403    0.168
  31.30   12.359   12.380   12.393   -0.712   -0.562    0.182   -0.712   -0.562   -0.102   -0.130    0.400    0.428    0.217
  31.35   12.486   12.499   12.510   -0.573   -0.507    0.309   -0.573   -0.507   -0.157   -0.177    0.291    0.341    0.188
  31.40   12.613   12.626   12.643   -0.579   -0.649    0.436   -0.579   -0.649   -0.283   -0.253    0.376    0.473    0.267
  31.45   12.545   12.558   12.608   -0.575   -1.121    0.368   -0.575   -1.121   -0.412   -0.212    0.645    0.861    0.397
  31.50   12.194   12.216   12.246   -0.730   -0.859    0.017   -0.730   -0.859   -0.014   -0.012    0.627    0.636    0.314
  31.55   12.282   12.314   12.354   -0.892   -0.990    0.105   -0.892   -0.990   -0.104   -0.094    0.883    0.893    0.447
