
This hub-height turbulence-parameter file was generated by TurbSim (v2.00.06a-bjj, 6-Jun-2016) on 07-Jun-2016 at 10:43:29.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
  11.50   11.309   11.372   11.405    1.193    0.863   -0.868    1.193    0.863   -0.749   -1.035    1.029    1.460    0.820
  11.55   11.005   11.085   11.128    1.331    0.974   -1.172    1.331    0.974   -1.142   -1.561    1.297    2.048    1.164
  11.60   11.184   11.266   11.304    1.362    0.930   -0.993    1.362    0.930   -0.923   -1.353    1.266    1.853    1.035
  11.65   11.482   11.555   11.571    1.302    0.612   -0.695    1.302    0.612   -0.426   -0.906    0.797    1.277    0.640
  11.70   11.542   11.604   11.612    1.197    0.440   -0.635    1.197    0.440   -0.279   -0.760    0.527    1.015    0.483
  11.75   11.501   11.540   11.543    0.944    0.277   -0.676    0.944    0.277   -0.187   -0.638    0.261    0.713    0.357
  11.80   11.543   11.584   11.587    0.977    0.271   -0.634    0.977    0.271   -0.172   -0.620    0.265    0.715    0.348
  11.85   11.553   11.594   11.595    0.975    0.175   -0.624    0.975    0.175   -0.109   -0.609    0.170    0.685    0.321
  11.90   11.875   11.912   11.913    0.946    0.169   -0.302    0.946    0.169   -0.051   -0.286    0.160    0.507    0.166
  11.95   11.947   11.977   11.978    0.834    0.176   -0.230    0.834    0.176   -0.041   -0.191    0.147    0.390    0.122
  12.00   12.051   12.082   12.084    0.866    0.211   -0.126    0.866    0.211   -0.026   -0.109    0.182    0.405    0.107
  12.05   11.922   11.937   11.937    0.604    0.039   -0.255    0.604    0.039   -0.010   -0.154    0.024    0.216    0.078
  12.10   11.979   11.996   11.996    0.637   -0.008   -0.198    0.637   -0.008    0.002   -0.126   -0.005    0.223    0.063
  12.15   11.879   11.888   11.888    0.470   -0.014   -0.298    0.470   -0.014    0.004   -0.140   -0.006    0.155    0.070
  12.20   11.495   11.496   11.498    0.203    0.199   -0.682    0.203    0.199   -0.136   -0.138    0.040    0.273    0.099
  12.25   11.703   11.718   11.723    0.575    0.373   -0.474    0.575    0.373   -0.177   -0.272    0.215    0.347    0.195
  12.30   11.576   11.586   11.589    0.464    0.281   -0.601    0.464    0.281   -0.169   -0.279    0.130    0.328    0.176
  12.35   11.424   11.426   11.429    0.214    0.242   -0.753    0.214    0.242   -0.182   -0.161    0.052    0.335    0.124
  12.40   11.204   11.206   11.209    0.200    0.256   -0.973    0.200    0.256   -0.249   -0.194    0.051    0.526    0.160
  12.45   11.225   11.236   11.246    0.499    0.483   -0.952    0.499    0.483   -0.460   -0.475    0.241    0.695    0.352
  12.50   11.012   11.014   11.022    0.227    0.416   -1.165    0.227    0.416   -0.485   -0.264    0.094    0.791    0.280
  12.55   11.136   11.137   11.143    0.086    0.366   -1.041    0.086    0.366   -0.381   -0.090    0.032    0.612    0.196
  12.60   11.206   11.210   11.222    0.283    0.526   -0.971    0.283    0.526   -0.510   -0.275    0.149    0.650    0.299
  12.65   11.129   11.134   11.155    0.323    0.690   -1.048    0.323    0.690   -0.723   -0.339    0.223    0.839    0.414
  12.70   11.494   11.511   11.536    0.614    0.769   -0.683    0.614    0.769   -0.525   -0.419    0.472    0.717    0.410
  12.75   11.477   11.491   11.520    0.564    0.826   -0.700    0.564    0.826   -0.578   -0.395    0.466    0.746    0.421
  12.80   11.520   11.520   11.568   -0.002    1.053   -0.657   -0.002    1.053   -0.692    0.001   -0.002    0.770    0.346
  12.85   11.518   11.518   11.591    0.015    1.293   -0.659    0.015    1.293   -0.851   -0.010    0.020    1.052    0.426
  12.90   11.031   11.032   11.134   -0.189    1.497   -1.146   -0.189    1.497   -1.716    0.216   -0.282    1.795    0.876
  12.95   11.166   11.167   11.272   -0.093    1.539   -1.011   -0.093    1.539   -1.555    0.094   -0.143    1.699    0.782
  13.00   11.362   11.362   11.433    0.049    1.268   -0.815    0.049    1.268   -1.033   -0.040    0.062    1.136    0.518
  13.05   11.301   11.307   11.344   -0.355    0.916   -0.876   -0.355    0.916   -0.802    0.311   -0.325    0.866    0.460
  13.10   11.354   11.382   11.406   -0.801    0.730   -0.823   -0.801    0.730   -0.601    0.659   -0.585    0.926    0.533
  13.15   11.529   11.554   11.582   -0.761    0.807   -0.648   -0.761    0.807   -0.523    0.493   -0.614    0.825    0.473
  13.20   11.611   11.634   11.655   -0.735    0.710   -0.566   -0.735    0.710   -0.402    0.416   -0.521    0.682    0.389
  13.25   11.734   11.762   11.798   -0.816    0.909   -0.443   -0.816    0.909   -0.403    0.361   -0.741    0.844    0.459
  13.30   12.090   12.097   12.126   -0.409    0.834   -0.087   -0.409    0.834   -0.073    0.036   -0.341    0.435    0.175
  13.35   12.032   12.033   12.095   -0.107    1.222   -0.145   -0.107    1.222   -0.177    0.016   -0.131    0.763    0.110
  13.40   12.013   12.015   12.076   -0.220    1.218   -0.164   -0.220    1.218   -0.200    0.036   -0.268    0.779    0.168
